,Duration(s),Accuracy(%),F1(Macro),F1(Weighted),n_estimators,max_leaf_nodes
0,1002.598,58.3,0.518,0.535,30,100
0,98.297,56.99999999999999,0.501,0.518,30,70
0,73.708,56.599999999999994,0.502,0.518,20,100
0,64.206,55.400000000000006,0.482,0.5,20,70
0,80.39,54.900000000000006,0.463,0.482,30,40
0,40.086,54.7,0.487,0.503,10,100
0,32.795,53.6,0.471,0.487,10,70
0,53.643,52.900000000000006,0.442,0.461,20,40
0,27.818,51.7,0.437,0.456,10,40
0,46.855,44.0,0.335,0.355,30,10
0,17.51,39.7,0.3,0.316,10,10
0,31.339,38.9,0.287,0.303,20,10
